codigo_med,tipo_suministro,medicamento,categoria_eess,periodo,cantidad,precio_unitario,valor_2,stock_items,valor_4,consumo_items
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202211,13231,0.15,659,2938,9634,62203
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202212,10873,0.15,304,2963,7566,70330
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202301,11389,0.15,310,2880,8199,61941
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202302,11482,0.15,810,3038,7614,50959
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202303,13715,0.25,713,3440,9562,45244
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202304,12460,0.3,672,3041,8747,47784
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202305,12438,0.2833,622,3004,8812,102146
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202306,11619,0.2333,290,3059,8270,125227
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202307,11749,0.2333,678,3591,7480,123578
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202308,13467,0.2333,375,4393,8699,130070
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202309,14249,0.2333,220,3945,10084,133821
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202310,14148,0.2333,325,5486,8322,133673
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202311,13209,0.1833,124,9641,3356,128791
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202312,12616,0.1667,418,9402,2653,131675
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202401,15105,0.1667,496,11860,2640,114136
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202402,14145,0.1667,370,11020,2672,90991
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202403,13592,0.2,517,10777,2238,88271
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202404,16083,0.2,586,13402,1955,99788
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202405,16653,0.3333,396,15213,926,88235
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202406,13893,0.3333,443,12706,680,72844
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202407,14896,0.3333,465,14142,204,55318
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202408,16610,0.3333,587,15919,19,41512
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202409,15332,0.3667,563,14497,222,74491
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202410,16690,0.3167,413,15810,301,57914
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202411,15826,0.3667,555,15005,132,42108
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202412,15024,0.1667,171,14579,142,134894
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202501,16937,0.15,635,16007,158,147673
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202502,17079,0.15,447,16400,118,141294
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202503,16682,0.15,896,15601,52,160812
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202504,18265,0.15,659,17341,91,157255
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202505,16817,0.15,621,15936,101,171973
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202506,16534,0.15,686,15656,,182161
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202507,15279,0.1167,542,14538,52,186882
04764,S,METOTREXATO  2.5 mg TABLETA,INSTITUTO,202508,16430,0.1167,262,15960,75,190452
